champion,n_games,executes,all_deaths,execute_rate_per_100,total_death_rate,class
Aatrox,104199,1897,598800,1.8205549,5.728490676,Fighter
Ahri,181389,2310,1027389,1.273506111,5.651274333,Mage
Akali,123366,2218,783560,1.797902177,6.333527876,Assassin
Alistar,145846,1710,837251,1.172469591,5.728926402,Tank
Amumu,95026,3867,559162,4.069412582,5.843611222,Tank
Anivia,51854,483,253994,0.931461411,4.888938173,Mage
Annie,65629,1078,425771,1.642566548,6.471117951,Mage
Ashe,86805,1679,558471,1.934220379,6.414284891,Marksman
Aurelion Sol,20265,516,120576,2.546262028,5.92450037,Mage
Azir,20878,426,132845,2.040425328,6.342513651,Specialist
Bard,55296,957,357503,1.730685764,6.447952836,Support
Blitzcrank,119002,1515,704610,1.273087847,5.908262046,Support
Brand,164611,3593,1202080,2.182721689,7.28072243,Mage
Braum,97790,875,544342,0.894774517,5.557490541,Tank
Caitlyn,129130,1856,772647,1.437311237,5.96910865,Marksman
Camille,87237,4409,561848,5.054048168,6.389937756,Fighter
Cassiopeia,26362,355,164493,1.346635308,6.226310599,Mage
Cho'Gath,77113,977,429872,1.266971847,5.561902662,Specialist
Corki,11642,184,72005,1.580484453,6.169129016,Marksman
Darius,176825,1829,1106595,1.034356002,6.247793016,Fighter
Diana,73714,1473,498420,1.998263559,6.7415552,Fighter
Dr. Mundo,53086,2118,298542,3.989752477,5.583845082,Fighter
Draven,123429,2154,812996,1.745132829,6.569298949,Marksman
Ekko,138978,3017,840283,2.170847184,6.024449913,Assassin
Elise,32562,1173,208986,3.602358577,6.382071126,Fighter
Evelynn,76104,1912,486498,2.512351519,6.36741827,Assassin
Ezreal,293593,4836,1692595,1.647178237,5.748635015,Marksman
Fiddlesticks,50989,1399,356638,2.74372904,6.966973269,Specialist
Fiora,74506,1223,467325,1.641478539,6.255898854,Assassin
Fizz,101036,1784,639970,1.765707273,6.316421869,Assassin
Galio,55312,850,319220,1.536737055,5.755893839,Tank
Gangplank,47332,604,262047,1.276092284,5.523599256,Specialist
Garen,192931,2100,974003,1.088472044,5.037567835,Fighter
Gnar,37853,587,220052,1.550735741,5.797823158,Specialist
Gragas,79784,1711,470905,2.144540259,5.880803169,Tank
Graves,163436,3633,976105,2.22288847,5.950170097,Specialist
Hecarim,61741,2939,378909,4.760207966,6.08947053,Fighter
Heimerdinger,81726,1493,505709,1.826836013,6.169591073,Specialist
Illaoi,58804,750,385734,1.275423441,6.546901571,Fighter
Irelia,167618,2440,1161979,1.455690916,6.917747497,Fighter
Ivern,10601,162,53534,1.528157721,5.034619376,Support
Janna,83931,1522,447304,1.813394336,5.311291418,Support
Jarvan IV,83481,3041,506515,3.642745056,6.031001066,Fighter
Jax,267707,8886,1700030,3.319300579,6.317145237,Assassin
Jayce,36233,617,223603,1.702867552,6.15422405,Mage
Jhin,249680,3471,1419470,1.39017943,5.671255207,Marksman
Jinx,158715,2460,961692,1.54994802,6.043738777,Marksman
