name,rotation_score,companion_score,split_score,num_matches
Aatrox,2088,2078,5640,3310
Ahri,1578,1915,5070,4858
Akali,1988,1864,5198,3427
Alistar,1905,1277,4997,2006
Amumu,3268,2082,5230,2254
Anivia,1606,1913,5166,1470
Annie,1630,1825,5099,2544
Ashe,1674,1519,5428,5419
Aurelion Sol,2131,1832,5111,501
Azir,1424,1949,5148,840
Bard,2253,1504,5091,1544
Blitzcrank,1885,1300,5059,4663
Brand,1799,1663,5213,6017
Braum,1845,1228,5000,2257
Caitlyn,1637,1497,5389,4817
Camille,2422,2153,5618,1304
Cassiopeia,1537,1910,5117,845
Cho'Gath,2093,2030,5500,3451
Corki,1824,1807,5310,649
Darius,1934,2171,5764,5711
Diana,2244,1997,5247,3240
Dr. Mundo,2060,2048,5621,3946
Draven,1671,1499,5350,4074
Ekko,2056,1940,5222,4580
Elise,3163,2058,5108,592
Evelynn,3475,2087,5119,2508
Ezreal,1589,1534,5378,4350
Fiddlesticks,2060,1634,5222,3982
Fiora,2007,2200,5820,1881
Fizz,1877,1908,5177,3496
Galio,1972,1754,5093,1721
Gangplank,1680,2121,5778,1361
Garen,1967,2038,5723,10344
Gnar,1839,2087,5753,1870
Gragas,2603,1965,5224,1133
Graves,3162,2103,5258,3633
Hecarim,3498,2165,5306,1538
Heimerdinger,1476,1819,5407,4334
Illaoi,1785,2101,5818,2661
Irelia,2002,2030,5499,1904
Ivern,3076,1863,5038,506
Janna,1836,1311,5040,1735
Jarvan IV,3038,2079,5271,1445
Jax,2948,2198,5553,8024
Jayce,1962,2012,5602,1232
Jhin,1665,1455,5255,9003
Jinx,1710,1482,5333,8905
Kai'Sa,1788,1550,5432,5507
Kalista,1663,1461,5356,680
Karma,1799,1485,5159,1848
Karthus,1610,2090,5450,1266
Kassadin,1682,1923,5223,1049
Katarina,1895,1859,5027,2296
Kayle,1862,1956,5567,1576
Kayn,3370,2131,5228,5158
Kennen,1788,1985,5577,1363
Kha'Zix,3340,2187,5264,2337
Kindred,3264,2124,5234,3752
Kled,2256,2082,5520,1324
Kog'Maw,1668,1547,5424,998
LeBlanc,1727,1927,5124,1915
Lee Sin,3285,2030,5150,3134
Leona,1911,1294,5027,5062
Lissandra,1698,1910,5154,774
Lucian,1713,1515,5367,4939
Lulu,1766,1438,5138,1778
Lux,1691,1603,5059,12031
Malphite,2165,1909,5429,3396
Malzahar,1626,1897,5146,2882
Maokai,2086,1772,5388,1344
Master Yi,3348,2186,5441,7786
Miss Fortune,1791,1444,5336,13597
Mordekaiser,1959,1895,5365,855
Morgana,1804,1427,5119,8852
Nami,1782,1270,4984,3886
Nasus,1674,2170,6164,5422
Nautilus,1957,1438,5097,2784
Nidalee,2837,1945,5111,1239
Nocturne,3395,2173,5371,3670
Nunu,2866,2034,5428,938
Olaf,2709,2149,5540,1501
Orianna,1506,1867,5038,1759
Ornn,1813,1890,5586,1040
Pantheon,2704,2091,5472,3977
Poppy,2288,1959,5511,2128
Pyke,2120,1448,5113,7077
Quinn,2493,1910,5562,5847
Rakan,1837,1214,4987,3142
Rammus,3221,2098,5247,1634
Rek'Sai,3333,2088,5149,417
Renekton,2083,2132,5729,2276
Rengar,3311,2208,5409,3017
Riven,2222,2156,5688,2670
Rumble,2049,2057,5650,929
Ryze,1591,1935,5219,1665
Sejuani,3187,2054,5105,1082
Shaco,3084,2186,5487,2456
Shen,2490,1809,5488,2317
Shyvana,3292,2203,5401,2318
Singed,2293,2246,6052,1288
Sion,2060,1837,5467,1742
Sivir,1746,1548,5504,2214
Skarner,3263,2095,5193,451
Sona,1765,1329,5064,5461
Soraka,1731,1373,5137,4131
Swain,1687,1773,5197,3023
Syndra,1504,1954,5053,1082
Tahm Kench,1992,1517,5200,1794
Taliyah,2620,1999,5144,1410
Talon,2173,1919,5217,4921
Taric,1819,1272,5026,1952
Teemo,1737,2155,5928,7137
Thresh,1866,1249,4962,3803
Tristana,1780,1520,5396,4503
Trundle,2995,2124,5406,3038
Tryndamere,2400,2229,5923,5646
Twisted Fate,1870,1869,5194,1732
Twitch,1956,1653,5502,3542
Udyr,3288,2190,5432,4056
Urgot,1898,2062,5683,2191
Varus,1663,1516,5406,3656
Vayne,1663,1562,5493,4748
Veigar,1596,1807,5139,5870
Vel'Koz,1704,1731,5134,2473
Vi,3366,2107,5257,2882
Viktor,1497,1940,5049,706
Vladimir,1571,1865,5298,2144
Volibear,2713,1997,5406,3133
Warwick,3424,2108,5208,5905
Wukong,2622,2151,5477,4875
Xayah,1683,1461,5392,3740
Xerath,1591,1835,5083,1757
Xin Zhao,3205,2154,5363,4051
Yasuo,1829,1822,5239,9509
Yorick,2012,2180,5905,2906
Zac,3132,1950,5072,821
Zed,1849,1874,5160,6346
Ziggs,1659,1807,5207,2361
Zilean,1722,1498,5143,1252
Zoe,1626,1823,4961,3022
Zyra,1778,1534,5217,3131
