name,rotation_score,companion_score,split_score,num_matches
Aatrox,2560,2155,5299,1262
Ahri,1855,1942,4754,1505
Akali,2601,2144,5310,296
Alistar,2423,1211,4383,1063
Amumu,3662,2046,4762,155
Anivia,1813,1995,4690,561
Annie,1977,1998,4861,492
Ashe,1874,1527,4893,274
Aurelion Sol,2513,1950,4710,315
Azir,1873,2040,4929,317
Bard,2603,1443,4568,734
Blitzcrank,2399,1241,4404,804
Brand,2002,1518,4664,1154
Braum,2182,1124,4384,707
Caitlyn,1904,1513,4784,491
Camille,3050,2199,5275,1789
Cassiopeia,1911,2014,4877,307
Cho'Gath,2402,2198,5146,426
Corki,2097,1988,4981,322
Darius,2389,2353,5491,1363
Diana,2370,2142,5218,332
Dr. Mundo,2526,2242,5385,826
Draven,1971,1547,4881,1718
Ekko,2341,2009,4996,1099
Elise,3581,1928,4709,203
Evelynn,3847,1985,4696,994
Ezreal,1830,1536,4849,1581
Fiddlesticks,2311,1384,4523,1541
Fiora,2397,2419,5897,595
Fizz,2329,2058,5003,508
Galio,2274,1911,4786,418
Gangplank,2210,2386,5687,1052
Garen,2356,2159,5344,949
Gnar,2389,2241,5528,512
Gragas,3029,1938,4735,1371
Graves,3691,2031,4766,2867
Hecarim,3808,2108,4802,232
Heimerdinger,1933,1645,4892,1060
Illaoi,2348,2220,5544,203
Irelia,2471,2193,5291,910
Ivern,3490,1830,4375,125
Janna,2098,1205,4462,610
Jarvan IV,3271,2106,4950,548
Jax,2684,2397,5714,1429
Jayce,2508,2182,5196,981
Jhin,1914,1467,4773,3913
Jinx,1947,1476,4766,854
Kai'Sa,2030,1532,4969,1784
Kalista,2044,1458,4878,70
Karma,2094,1395,4516,794
Karthus,1908,2191,5210,409
Kassadin,2038,2056,5033,837
Katarina,2175,1934,4686,425
Kayle,2265,2090,5030,232
Kayn,3694,2057,4770,832
Kennen,2534,2201,5358,983
Kha'Zix,3676,2107,4804,1732
Kindred,3644,2036,4754,1731
Kled,2820,2127,5203,892
Kog'Maw,1892,1517,4794,45
LeBlanc,2051,2024,4970,1093
Lee Sin,3683,1977,4656,1150
Leona,2248,1221,4453,452
Lissandra,2136,1975,4798,373
Lucian,2022,1534,4894,2602
Lulu,2026,1336,4501,753
Lux,1860,1579,4506,621
Malphite,2540,2215,5241,598
Malzahar,1988,1918,4761,499
Maokai,2635,2127,5163,154
Master Yi,3700,2211,5210,394
Miss Fortune,1996,1449,4740,1286
Mordekaiser,2156,1581,4748,203
Morgana,2151,1335,4490,2140
Nami,2096,1214,4473,1939
Nasus,2099,2408,5933,234
Nautilus,2418,1577,4740,147
Nidalee,3779,1987,4668,1002
Nocturne,3645,2125,4954,850
Nunu,3466,1863,4570,201
Olaf,3065,2194,5137,229
Orianna,1689,1932,4673,1326
Ornn,2492,2158,5119,268
Pantheon,3567,2125,4987,1271
Poppy,2818,2036,5110,961
Pyke,2505,1265,4436,2695
Quinn,2885,1854,5095,2012
Rakan,2266,1181,4458,1796
Rammus,3792,1955,4639,308
Rek'Sai,3728,1985,4715,335
Renekton,2571,2271,5479,841
Rengar,3716,2121,4936,1449
Riven,2611,2278,5498,1008
Rumble,2667,2138,5207,680
Ryze,2151,2112,5210,806
Sejuani,3435,1984,4504,248
Shaco,3611,2092,4876,527
Shen,2728,1605,4997,591
Shyvana,3684,2111,4951,125
Singed,2953,2391,5522,829
Sion,2571,2043,5091,151
Sivir,1971,1548,4872,251
Skarner,3586,1947,4466,113
Sona,1980,1275,4441,920
Soraka,1953,1275,4565,1462
Swain,1980,1628,4858,1507
Syndra,1819,2009,4809,354
Tahm Kench,2348,1320,4561,415
Taliyah,3446,1971,4734,1257
Talon,2818,2065,5172,854
Taric,2038,1162,4381,243
Teemo,2156,2281,5467,603
Thresh,2243,1189,4374,1180
Tristana,1942,1515,4903,301
Trundle,3602,1983,4605,1010
Tryndamere,2478,2358,5938,1019
Twisted Fate,2260,1987,4923,1403
Twitch,2215,1635,4975,439
Udyr,3733,2120,4978,551
Urgot,2359,2140,5202,299
Varus,1886,1477,4772,701
Vayne,1939,1626,5189,493
Veigar,1813,1824,4615,355
Vel'Koz,1876,1578,4663,990
Vi,3643,2070,4825,302
Viktor,1719,2034,4791,392
Vladimir,1950,1904,4980,1315
Volibear,2854,2099,5061,141
Warwick,3717,2025,4759,333
Wukong,2898,2154,5142,816
Xayah,2001,1404,4739,1088
Xerath,1747,1819,4646,497
Xin Zhao,3701,2046,4742,888
Yasuo,2191,1881,5088,1926
Yorick,2314,2422,5853,225
Zac,3515,1856,4478,159
Zed,2245,2067,5207,1186
Ziggs,1830,1695,4694,329
Zilean,2011,1344,4465,474
Zoe,1954,1877,4577,1203
Zyra,1995,1389,4620,825
