name,rotation_score,companion_score,split_score,num_matches
Aatrox,2193,2132,5404,10203
Ahri,1734,1922,4830,18211
Akali,2077,1968,5114,4871
Alistar,2071,1202,4613,8306
Amumu,3474,2061,4873,4068
Anivia,1636,1948,4801,6066
Annie,1783,1853,4899,5701
Ashe,1707,1494,5121,5845
Aurelion Sol,2550,1865,4842,1807
Azir,1521,1933,4814,1759
Bard,2369,1448,4726,6172
Blitzcrank,2060,1255,4660,9208
Brand,1872,1534,4897,17024
Braum,1910,1147,4620,5761
Caitlyn,1724,1481,5057,9725
Camille,2699,2239,5395,6461
Cassiopeia,1607,1949,4876,2336
Cho'Gath,2108,2106,5216,6406
Corki,1948,1859,5045,1977
Darius,2058,2305,5593,17055
Diana,2339,2004,5048,6489
Dr. Mundo,2200,2136,5449,9710
Draven,1764,1531,5117,15072
Ekko,2203,1978,4999,12972
Elise,3377,2040,4870,1998
Evelynn,3669,2070,4869,8613
Ezreal,1622,1524,5089,17398
Fiddlesticks,2126,1481,4821,14246
Fiora,2068,2335,5830,6021
Fizz,2046,1985,5027,8984
Galio,2068,1828,4822,3581
Gangplank,1798,2263,5583,7027
Garen,2083,2143,5500,23141
Gnar,2014,2185,5561,4509
Gragas,2837,1972,4869,6573
Graves,3530,2124,4972,21887
Hecarim,3700,2185,5029,3313
Heimerdinger,1689,1685,5155,10370
Illaoi,1923,2185,5646,3857
Irelia,2145,2097,5278,6943
Ivern,3488,1864,4593,1064
Janna,1922,1207,4642,7362
Jarvan IV,3275,2083,4976,6478
Jax,2819,2285,5523,18828
Jayce,2144,2161,5282,3972
Jhin,1734,1427,4962,38017
Jinx,1787,1468,5012,18807
Kai'Sa,1809,1514,5150,16457
Kalista,1802,1420,5024,950
Karma,1883,1421,4767,5971
Karthus,1668,2102,5214,3310
Kassadin,1829,1937,5015,4223
Katarina,1934,1859,4766,7016
Kayle,2016,2078,5408,3124
Kayn,3607,2111,4950,14646
Kennen,2011,2042,5333,4722
Kha'Zix,3526,2182,4990,9056
Kindred,3519,2114,4943,13795
Kled,2509,2125,5289,5040
Kog'Maw,1631,1559,5073,1136
LeBlanc,1854,1957,4937,10410
Lee Sin,3539,2012,4821,13647
Leona,2018,1208,4651,8787
Lissandra,1870,1942,4962,3655
Lucian,1787,1510,5119,20043
Lulu,1852,1265,4673,7757
Lux,1745,1607,4724,21024
Malphite,2240,2056,5228,9014
Malzahar,1747,1888,4864,7552
Maokai,2343,1932,5077,2738
Master Yi,3565,2235,5288,11982
Miss Fortune,1833,1422,5006,24555
Mordekaiser,2058,1825,5107,1870
Morgana,1910,1367,4743,22511
Nami,1863,1221,4649,19369
Nasus,1712,2332,6052,8800
Nautilus,2107,1434,4782,4069
Nidalee,3466,2009,4811,3997
Nocturne,3585,2195,5080,12912
Nunu,3233,2020,4872,1885
Olaf,2954,2173,5223,2007
Orianna,1546,1915,4774,8654
Ornn,2064,2033,5295,2558
Pantheon,3125,2137,5159,10742
Poppy,2532,2040,5238,6911
Pyke,2231,1319,4698,22664
Quinn,2733,1918,5299,17512
Rakan,1991,1185,4636,11600
Rammus,3504,2062,4865,3522
Rek'Sai,3534,2063,4859,1509
Renekton,2237,2235,5552,8393
Rengar,3514,2210,5170,10865
Riven,2342,2233,5541,10031
Rumble,2289,2124,5311,3292
Ryze,1801,2019,5043,4390
Sejuani,3467,2009,4706,2657
Shaco,3382,2141,5135,7183
Shen,2588,1857,5317,5357
Shyvana,3555,2213,5099,3292
Singed,2533,2358,5780,5437
Sion,2295,1957,5258,3351
Sivir,1842,1528,5158,4091
Skarner,3510,2036,4776,1284
Sona,1848,1266,4695,8940
Soraka,1791,1300,4770,10250
Swain,1775,1669,4967,10842
Syndra,1603,1943,4822,3000
Tahm Kench,2096,1436,4816,3918
Taliyah,3156,2010,4855,5378
Talon,2469,1972,5100,9658
Taric,1890,1167,4644,3755
Teemo,1817,2251,5728,10304
Thresh,1994,1187,4577,14684
Tristana,1856,1517,5137,5901
Trundle,3233,2105,4990,8803
Tryndamere,2246,2351,6012,14361
Twisted Fate,2074,1920,4945,8856
Twitch,2234,1695,5143,6206
Udyr,3518,2206,5233,10673
Urgot,2078,2136,5384,4305
Varus,1722,1509,5050,5485
Vayne,1698,1567,5271,13631
Veigar,1649,1771,4833,10302
Vel'Koz,1758,1625,4808,9759
Vi,3549,2095,4958,6814
Viktor,1535,1956,4826,3898
Vladimir,1687,1874,5075,9728
Volibear,2866,2079,5089,3168
Warwick,3562,2094,4875,8764
Wukong,2822,2170,5178,16317
Xayah,1753,1416,5044,8724
Xerath,1680,1762,4781,5710
Xin Zhao,3495,2140,4992,7289
Yasuo,1942,1883,5139,22956
Yorick,2146,2321,5842,5486
Zac,3335,1906,4683,2325
Zed,2029,1952,5079,17566
Ziggs,1747,1745,4909,4857
Zilean,1831,1420,4700,5045
Zoe,1825,1839,4688,10134
Zyra,1864,1437,4859,10969
