name,rotation_score,companion_score,split_score,num_matches
Aatrox,2280,2144,5320,5130
Ahri,1785,1936,4765,8193
Akali,2144,2048,5179,1775
Alistar,2196,1186,4479,4212
Amumu,3545,2086,4780,1156
Anivia,1676,2003,4759,3078
Annie,1886,1886,4810,1990
Ashe,1789,1493,4974,1906
Aurelion Sol,2611,1889,4752,1282
Azir,1603,1977,4846,758
Bard,2414,1432,4647,3057
Blitzcrank,2186,1246,4525,3676
Brand,1919,1507,4799,6599
Braum,1966,1110,4471,2640
Caitlyn,1798,1496,4983,3376
Camille,2815,2217,5344,4387
Cassiopeia,1695,1947,4876,1236
Cho'Gath,2152,2114,5124,2395
Corki,2008,1917,4976,990
Darius,2165,2340,5535,7826
Diana,2285,2017,5017,2436
Dr. Mundo,2310,2181,5398,3957
Draven,1830,1513,4987,7634
Ekko,2227,2003,4986,5748
Elise,3473,1989,4753,1104
Evelynn,3733,2051,4767,4920
Ezreal,1681,1504,4965,7927
Fiddlesticks,2220,1474,4689,6693
Fiora,2186,2361,5844,2988
Fizz,2120,1990,4979,3553
Galio,2140,1800,4677,1683
Gangplank,1941,2298,5530,3430
Garen,2189,2164,5412,8976
Gnar,2127,2195,5519,1982
Gragas,2907,1945,4774,3797
Graves,3619,2101,4865,10928
Hecarim,3732,2174,4944,1409
Heimerdinger,1760,1651,5015,4168
Illaoi,1969,2244,5651,1210
Irelia,2254,2138,5245,3380
Ivern,3524,1871,4475,470
Janna,1983,1207,4537,3792
Jarvan IV,3286,2080,4880,2636
Jax,2750,2331,5578,8292
Jayce,2304,2137,5174,2625
Jhin,1811,1433,4852,18392
Jinx,1825,1455,4887,7416
Kai'Sa,1879,1508,5030,8299
Kalista,1922,1439,4934,495
Karma,1983,1420,4638,3004
Karthus,1761,2168,5232,1514
Kassadin,1917,1975,4985,2650
Katarina,2003,1899,4744,2867
Kayle,2069,2063,5351,1012
Kayn,3645,2094,4831,6090
Kennen,2192,2093,5292,2556
Kha'Zix,3598,2141,4888,5113
Kindred,3574,2081,4828,6635
Kled,2628,2137,5244,2866
Kog'Maw,1716,1488,4943,327
LeBlanc,1926,1969,4893,4781
Lee Sin,3611,1998,4704,5883
Leona,2100,1205,4554,3585
Lissandra,1943,1975,4872,1959
Lucian,1869,1520,5006,10122
Lulu,1912,1245,4575,3747
Lux,1746,1639,4627,6626
Malphite,2340,2136,5237,3549
Malzahar,1810,1896,4776,3226
Maokai,2381,1990,5042,1099
Master Yi,3686,2233,5255,3754
Miss Fortune,1900,1420,4877,9661
Mordekaiser,2200,1839,4977,871
Morgana,1986,1349,4606,9547
Nami,1928,1205,4561,10497
Nasus,1825,2410,6010,2358
Nautilus,2172,1429,4663,1305
Nidalee,3647,2013,4711,2205
Nocturne,3634,2168,5005,4931
Nunu,3400,2019,4706,729
Olaf,3045,2178,5176,899
Orianna,1600,1933,4706,4438
Ornn,2256,2072,5192,1177
Pantheon,3355,2152,5056,5245
Poppy,2546,2065,5186,3172
Pyke,2330,1288,4571,10205
Quinn,2817,1899,5191,7794
Rakan,2070,1156,4528,6305
Rammus,3570,2044,4779,1265
Rek'Sai,3623,2042,4761,1024
Renekton,2371,2246,5471,4013
Rengar,3614,2183,5091,5677
Riven,2416,2290,5546,4935
Rumble,2367,2109,5154,1767
Ryze,1958,2074,5062,2159
Sejuani,3507,1990,4595,1280
Shaco,3502,2116,5001,3910
Shen,2636,1835,5249,2505
Shyvana,3704,2187,4994,1233
Singed,2686,2387,5657,2942
Sion,2405,1908,5105,1505
Sivir,1886,1507,4993,1506
Skarner,3485,2047,4722,599
Sona,1890,1255,4590,4321
Soraka,1856,1272,4646,5266
Swain,1832,1650,4895,5073
Syndra,1661,1938,4746,1231
Tahm Kench,2215,1395,4697,1623
Taliyah,3288,2006,4810,3345
Talon,2586,2005,5069,3996
Taric,1963,1138,4505,1551
Teemo,1930,2303,5629,3516
Thresh,2099,1189,4459,6266
Tristana,1939,1525,4980,1942
Trundle,3368,2070,4844,3982
Tryndamere,2293,2363,5950,5690
Twisted Fate,2161,1949,4930,4982
Twitch,2205,1659,5056,2392
Udyr,3595,2181,5108,4205
Urgot,2200,2140,5257,1558
Varus,1798,1483,4920,2432
Vayne,1737,1554,5178,4585
Veigar,1724,1788,4756,3386
Vel'Koz,1787,1609,4683,4386
Vi,3654,2085,4850,2592
Viktor,1583,2002,4843,1813
Vladimir,1759,1879,4976,5064
Volibear,2822,2067,4978,1043
Warwick,3619,2071,4778,3038
Wukong,2914,2158,5090,6284
Xayah,1806,1414,4915,4360
Xerath,1697,1763,4677,2604
Xin Zhao,3585,2110,4879,3827
Yasuo,2018,1896,5107,10106
Yorick,2189,2357,5836,2096
Zac,3441,1917,4626,1071
Zed,2119,1984,5089,7565
Ziggs,1756,1728,4797,1839
Zilean,1913,1383,4611,2512
Zoe,1853,1867,4596,5277
Zyra,1913,1408,4716,4965
