name,rotation_score,companion_score,split_score,num_matches
Aatrox,2159,2092,5487,14865
Ahri,1695,1913,4924,25709
Akali,2008,1887,5094,11062
Alistar,1965,1230,4771,11599
Amumu,3383,2097,4997,9345
Anivia,1638,1923,4924,7765
Annie,1687,1833,4978,10903
Ashe,1685,1505,5259,13222
Aurelion Sol,2423,1856,4915,2337
Azir,1490,1936,4922,2842
Bard,2313,1458,4874,8154
Blitzcrank,1955,1256,4807,17129
Brand,1834,1587,5039,27735
Braum,1863,1158,4756,9743
Caitlyn,1671,1468,5188,18055
Camille,2560,2205,5501,6984
Cassiopeia,1551,1900,4947,3469
Cho'Gath,2086,2066,5320,11952
Corki,1892,1824,5163,2681
Darius,1996,2248,5645,25442
Diana,2308,1999,5109,11940
Dr. Mundo,2096,2095,5515,16118
Draven,1706,1511,5205,21326
Ekko,2130,1959,5070,20205
Elise,3296,2053,4971,2976
Evelynn,3596,2085,4965,11415
Ezreal,1587,1512,5199,23906
Fiddlesticks,2084,1530,4984,19318
Fiora,2011,2279,5836,8900
Fizz,1982,1937,5038,14990
Galio,2033,1787,4919,6075
Gangplank,1713,2174,5669,8325
Garen,2008,2087,5588,40540
Gnar,1911,2140,5618,7804
Gragas,2751,1979,4978,7024
Graves,3406,2130,5094,23798
Hecarim,3614,2191,5146,6180
Heimerdinger,1585,1736,5237,16365
Illaoi,1837,2143,5696,8258
Irelia,2078,2078,5348,9391
Ivern,3364,1895,4761,1558
Janna,1864,1242,4790,9363
Jarvan IV,3175,2097,5086,8299
Jax,2893,2235,5495,32145
Jayce,2021,2110,5368,5683
Jhin,1683,1423,5083,49629
Jinx,1740,1462,5132,32997
Kai'Sa,1783,1510,5251,24082
Kalista,1705,1413,5157,1943
Karma,1836,1454,4937,8553
Karthus,1615,2098,5259,4588
Kassadin,1777,1910,5034,4856
Katarina,1931,1859,4880,10639
Kayle,1913,2050,5485,5415
Kayn,3511,2127,5065,22994
Kennen,1884,2028,5450,6571
Kha'Zix,3446,2200,5108,11088
Kindred,3436,2122,5055,18896
Kled,2346,2127,5416,6415
Kog'Maw,1642,1561,5257,2274
LeBlanc,1792,1952,5000,12642
Lee Sin,3429,2034,4943,18958
Leona,1926,1226,4808,18963
Lissandra,1818,1949,5036,4393
Lucian,1748,1504,5213,26512
Lulu,1817,1304,4824,9675
Lux,1728,1611,4870,43085
Malphite,2185,1959,5283,15082
Malzahar,1687,1893,4989,12170
Maokai,2257,1847,5201,4926
Master Yi,3495,2230,5347,24812
Miss Fortune,1788,1420,5135,48110
Mordekaiser,1999,1846,5219,3148
Morgana,1838,1387,4886,36324
Nami,1815,1237,4786,22425
Nasus,1664,2268,6102,17913
Nautilus,2017,1410,4909,9064
Nidalee,3216,1993,4929,5255
Nocturne,3523,2197,5194,18942
Nunu,3095,2031,5066,3431
Olaf,2796,2159,5367,4129
Orianna,1544,1900,4877,10894
Ornn,1950,1962,5349,4216
Pantheon,2925,2112,5269,16246
Poppy,2410,2004,5348,9781
Pyke,2179,1374,4876,31861
Quinn,2620,1914,5399,26505
Rakan,1897,1186,4779,15980
Rammus,3404,2070,5001,6395
Rek'Sai,3466,2082,4968,1844
Renekton,2159,2173,5569,11609
Rengar,3440,2212,5244,14314
Riven,2247,2179,5555,12647
Rumble,2141,2091,5450,4568
Ryze,1697,1987,5080,6548
Sejuani,3386,2048,4852,4531
Shaco,3221,2163,5273,10485
Shen,2554,1822,5350,9532
Shyvana,3442,2196,5186,7317
Singed,2423,2325,5953,7050
Sion,2181,1896,5325,6028
Sivir,1770,1510,5307,7712
Skarner,3393,2076,4926,1932
Sona,1802,1287,4843,17737
Soraka,1754,1333,4928,15547
Swain,1726,1708,5056,15617
Syndra,1581,1945,4928,4761
Tahm Kench,2049,1506,5016,6618
Taliyah,2949,2023,4987,6942
Talon,2329,1943,5112,17418
Taric,1845,1208,4805,7044
Teemo,1762,2209,5832,21540
Thresh,1923,1214,4731,20630
Tristana,1787,1503,5235,13546
Trundle,3094,2136,5191,13174
Tryndamere,2264,2290,5979,21994
Twisted Fate,2011,1900,5019,9486
Twitch,2100,1656,5268,11145
Udyr,3415,2215,5322,18897
Urgot,1971,2124,5521,7833
Varus,1700,1503,5221,10874
Vayne,1669,1560,5363,22055
Veigar,1627,1785,4962,21279
Vel'Koz,1734,1669,4928,12526
Vi,3486,2096,5061,11615
Viktor,1523,1944,4928,4124
Vladimir,1634,1866,5161,12229
Volibear,2831,2062,5195,8030
Warwick,3491,2094,4996,18532
Wukong,2750,2154,5283,24930
Xayah,1696,1402,5171,13992
Xerath,1657,1802,4866,7727
Xin Zhao,3371,2150,5152,12252
Yasuo,1901,1851,5166,38722
Yorick,2058,2251,5849,10531
Zac,3250,1947,4799,3942
Zed,1962,1902,5085,27528
Ziggs,1724,1767,5018,8483
Zilean,1790,1414,4868,6121
Zoe,1741,1828,4780,13721
Zyra,1818,1476,5013,16019
