champion,queueid,ngames,nwins,nkills,ndeaths,nassists,totalminionskilled,neutralminionskilled,avgdamagedealtchampions,subclass,class
Aatrox,420,85513,39118,430834,488522,513770,12724150,1462074,16747,Fighter_Diver,Fighter
Aatrox,450,38441,16193,251917,343578,580425,1352433,0,16080,Fighter_Diver,Fighter
Aatrox,470,2460,1061,11904,13264,12409,265517,47880,14841,Fighter_Diver,Fighter
Aatrox,1200,108156,51662,493852,597202,943369,3246730,2101936,12629,Fighter_Diver,Fighter
Ahri,420,326610,172511,2236331,1768679,2483691,50843642,1653732,20938,Burst_Mage,Mage
Ahri,450,120737,61506,1000658,942667,2277877,5722255,0,22679,Burst_Mage,Mage
Ahri,470,4405,2440,23719,19729,24386,605147,8028,17312,Burst_Mage,Mage
Ahri,1200,135686,68263,741693,678636,1391090,5579320,363312,16196,Burst_Mage,Mage
Akali,420,277191,124151,2180371,1726197,1420714,40443210,1444485,17866,Slayer_Assassin,Slayer
Akali,450,82496,28002,693351,757991,956088,2556507,0,15226,Slayer_Assassin,Slayer
Akali,470,4680,1883,28873,28074,18483,552905,18903,14877,Slayer_Assassin,Slayer
Akali,1200,292334,122725,1654100,1745180,2016380,9697284,1651623,11862,Slayer_Assassin,Slayer
Alistar,420,196701,99225,409824,1083281,2477438,8394652,134262,7872,Tank_Vanguard,Tank
Alistar,450,82791,44180,374344,658260,2108517,1281500,0,12323,Tank_Vanguard,Tank
Alistar,470,617,271,1694,3078,4642,39866,7644,9056,Tank_Vanguard,Tank
Alistar,1200,52502,28357,153071,255792,764818,1054544,467635,8884,Tank_Vanguard,Tank
Amumu,420,144651,76332,678140,802157,1494107,6930842,13939456,14554,Tank_Vanguard,Tank
Amumu,450,126251,66842,760482,1123601,2540870,3353007,0,16788,Tank_Vanguard,Tank
Amumu,470,3660,1945,14955,18157,27224,191336,239098,13584,Tank_Vanguard,Tank
Amumu,1200,142241,77912,530212,755848,1606132,3042313,4285275,11575,Tank_Vanguard,Tank
Anivia,420,101954,53389,563523,469503,781262,16809516,1162510,18839,Battle_Mage,Mage
Anivia,450,86742,42622,609172,581216,1674129,4781517,0,20545,Battle_Mage,Mage
Anivia,470,3950,2162,18763,15060,22068,596658,13341,15987,Battle_Mage,Mage
Anivia,1200,56275,30103,271498,231863,595853,2748964,279118,15359,Battle_Mage,Mage
Annie,420,124868,61999,800474,806866,958695,15604493,576001,19777,Burst_Mage,Mage
Annie,450,144178,72503,1125555,1186657,2505562,4472310,0,20258,Burst_Mage,Mage
Annie,470,2393,1179,12293,12693,12830,285717,5099,15979,Burst_Mage,Mage
Annie,1200,60185,28723,297112,342301,568036,1983107,257362,14625,Burst_Mage,Mage
Ashe,420,213755,104044,1155718,1315453,1859435,34091787,2331485,17654,Marksmen,Marksmen
Ashe,450,186870,101794,1558812,1408041,3670097,10574771,0,23072,Marksmen,Marksmen
Ashe,470,635,243,2441,3799,3274,73185,3421,12617,Marksmen,Marksmen
Ashe,1200,123231,58850,557256,663535,1270511,5709298,541066,15043,Marksmen,Marksmen
Aurelion Sol,420,52882,27551,317090,302247,481021,8729904,355244,19209,Battle_Mage,Mage
Aurelion Sol,450,47340,23946,332760,434055,935760,2947812,0,22185,Battle_Mage,Mage
