date,nexus_blitz,ranked,aram,nexus_blitz_smooth,ranked_smooth,aram_smooth
7/20/2018,,83070,67120,,,
7/21/2018,,89361,74777,,86215.5,70948.5
7/22/2018,,96857,81335,,89762.667,74410.667
7/23/2018,,90135,71582,,89855.75,73703.5
7/24/2018,,83441,75021,,88572.8,73967
7/25/2018,,87584,76319,,88408,74359
7/26/2018,,85688,76684,,88019.429,74691.143
7/27/2018,,83749,77672,,88116.429,76198.571
7/28/2018,,88488,82302,,87991.714,77273.571
7/29/2018,,95036,86465,,87731.571,78006.429
7/30/2018,,89692,76474,,87668.286,78705.286
7/31/2018,,87924,74600,,88308.714,78645.143
8/1/2018,,80503,69478,,87297.143,77667.857
8/2/2018,,77070,51478,,86066,74067
8/3/2018,,74501,45495,,84744.857,69470.286
8/4/2018,,80574,54285,,83614.286,65467.857
8/5/2018,,86813,60534,,82439.571,61763.429
8/6/2018,,65337,58878,,78960.286,59249.714
8/7/2018,,84240,55712,,78434,56551.429
8/8/2018,,81636,54142,,78595.857,54360.571
8/9/2018,,83800,53694,,79557.286,54677.143
8/10/2018,,80729,53044,,80447,55755.571
8/11/2018,,86225,59212,,81254.286,56459.429
8/12/2018,,90994,64148,,81851.571,56975.714
8/13/2018,,84418,59499,,84577.429,57064.429
8/14/2018,,84592,61656,,84627.714,57913.571
8/15/2018,74346,75602,45258,,83765.714,56644.429
8/16/2018,111146,78870,38503,92746,83061.429,54474.286
8/17/2018,90539,79985,40628,92010.333,82955.143,52700.571
8/18/2018,85411,87557,46794,90360.5,83145.429,50926.571
8/19/2018,85385,93983,50692,89365.4,83572.429,49004.286
8/20/2018,67864,83431,43843,85781.833,83431.429,46767.714
8/21/2018,62040,83835,44277,82390.143,83323.286,44285
8/22/2018,56710,83612,44978,79870.714,84467.571,44245
8/23/2018,51389,82541,45060,71334,84992,45181.714
8/24/2018,49125,82092,46211,65417.714,85293,45979.286
8/25/2018,53207,89916,52580,60817.143,85630,46805.857
8/26/2018,55055,99026,57900,56484.286,86350.429,47835.571
8/27/2018,41227,84136,48106,52679,86451.143,48444.571
8/28/2018,39213,82953,48400,49418,86325.143,49033.571
8/29/2018,40563,74812,44475,47111.286,85068,48961.714
8/30/2018,40814,81726,47236,45600.571,84951.571,49272.571
8/31/2018,39413,83316,49045,44213.143,85126.429,49677.429
9/1/2018,41957,90014,54180,42606,85140.429,49906
9/2/2018,43649,97751,58760,40976.571,84958.286,50028.857
9/3/2018,48151,109073,65628,41965.714,88520.714,52532
9/4/2018,32398,81760,49278,40992.143,88350.286,52657.429
9/5/2018,30504,72345,49055,39555.143,87997.857,53311.714
9/6/2018,28042,76711,47824,37730.571,87281.429,53395.714
9/7/2018,29631,79336,50711,36333.143,86712.857,53633.714
9/8/2018,35469,93647,59428,35406.286,87231.857,54383.429
9/9/2018,37019,97817,62795,34459.143,87241.286,54959.857
9/10/2018,28475,81842,51392,31648.286,83351.143,52926.143
9/11/2018,28826,81286,51899,31138,83283.429,53300.571
9/12/2018,7293,63436,36544,27822.143,82010.714,51513.286
9/13/2018,,68350,35168,,80816.286,49705.286
9/14/2018,,72622,37905,,79857.143,47875.857
9/15/2018,,88796,48136,,79164.143,46262.714
9/16/2018,,94041,54039,,78624.714,45011.857
9/17/2018,,79379,45733,,78272.857,44203.429
9/18/2018,,75625,44922,,77464.143,43206.714
9/19/2018,,77910,50073,,79531.857,45139.429
9/20/2018,,84319,50303,,81813.143,47301.571
9/21/2018,,87822,54023,,83984.571,49604.143
9/22/2018,,103653,63873,,86107,51852.286
9/23/2018,,107891,67936,,88085.571,53837.571
9/24/2018,,86296,54853,,89073.714,55140.429
9/25/2018,,87937,55930,,90832.571,56713
9/26/2018,,84382,54446,,91757.143,57337.714
9/27/2018,,86978,58809,,92137,58552.857
9/28/2018,,91674,64799,,92687.286,60092.286
9/29/2018,,110435,76383,,93656.143,61879.429
9/30/2018,,114471,81111,,94596.143,63761.571
10/1/2018,,90127,63244,,95143.429,64960.286
10/2/2018,,90500,62609,,95509.571,65914.429
10/3/2018,,79821,64711,,94858,67380.857
10/4/2018,,91360,64670,,95484,68218.143
10/5/2018,,94940,68392,,95950.571,68731.429
10/6/2018,,106704,76636,,95417.571,68767.571
10/7/2018,,112826,82204,,95182.571,68923.714
10/8/2018,,105983,77756,,97447.714,70996.857
10/9/2018,,85965,73925,,96799.857,72613.429
10/10/2018,,88067,67088,,97977.857,72953
